1;0
2;75
3;400
4;1125
5;2400
6;4375
7;7200
8;11025
9;16000
10;22275
11;30000
12;39325
13;50400
14;63375
15;78400
16;95625
17;115200
18;137275
19;162000
20;189525
21;220000
22;253575
23;290400
24;330625
25;374400
26;421875
27;473200
28;528525
29;588000
30;651775
31;720000
32;792825
33;870400
34;952875
35;1040400
36;1133125
37;1231200
38;1334775
39;1444000
40;1559025
41;1680000
42;1807075
43;1940400
44;2080125
45;2226400
46;2379375
47;2539200
48;2706025
49;2880000
50;3061275
51;3250000
52;3446325
53;3650400
54;3862375
55;4082400
56;4310625
57;4547200
58;4792275
59;5046000
60;5308525
61;5580000
62;5860575
63;6150400
64;6449625
65;6758400
66;7076875
67;7405200
68;7743525
69;8092000
70;8450775
71;8820000
72;9199825
73;9590400
74;9991875
75;10404400
76;10828125
77;11263200
78;11709775
79;12168000
80;12638025
81;13120000
82;13614075
83;14120400
84;14639125
85;15170400
86;15714375
87;16271200
88;16841025
89;17424000
90;18020275
91;18630000
92;19253325
93;19890400
94;20541375
95;21206400
96;21885625
97;22579200
98;23287275
99;24010000
100;24747525
